replicate,method,category,common_genes,category_genes,called,call_fraction
98,MAST,db,3978,103,28,0.27184466019417475
98,MAST,ee,3978,3217,0,0.0
98,MAST,ep,3978,363,0,0.0
98,wilcoxon,de,3978,89,67,0.7528089887640449
98,wilcoxon,dp,3978,101,63,0.6237623762376238
98,wilcoxon,dm,3978,105,76,0.7238095238095238
98,wilcoxon,db,3978,103,27,0.2621359223300971
98,wilcoxon,ee,3978,3217,0,0.0
98,wilcoxon,ep,3978,363,0,0.0
98,diffxpy,de,3978,89,87,0.9775280898876404
98,diffxpy,dp,3978,101,90,0.8910891089108911
98,diffxpy,dm,3978,105,93,0.8857142857142857
98,diffxpy,db,3978,103,66,0.6407766990291263
98,diffxpy,ee,3978,3217,11,0.0034193347839602114
98,diffxpy,ep,3978,363,0,0.0
98,DESeq2,de,3978,89,89,1.0
98,DESeq2,dp,3978,101,96,0.9504950495049505
98,DESeq2,dm,3978,105,98,0.9333333333333333
98,DESeq2,db,3978,103,72,0.6990291262135923
98,DESeq2,ee,3978,3217,34,0.010568852968604289
98,DESeq2,ep,3978,363,4,0.011019283746556474
99,DUET,de,3993,101,94,0.9306930693069307
99,DUET,dp,3993,112,80,0.7142857142857143
99,DUET,dm,3993,101,79,0.7821782178217822
99,DUET,db,3993,115,49,0.4260869565217391
99,DUET,ee,3993,3170,0,0.0
99,DUET,ep,3993,394,0,0.0
99,MAST,de,3993,101,94,0.9306930693069307
99,MAST,dp,3993,112,80,0.7142857142857143
99,MAST,dm,3993,101,79,0.7821782178217822
99,MAST,db,3993,115,49,0.4260869565217391
99,MAST,ee,3993,3170,0,0.0
99,MAST,ep,3993,394,0,0.0
99,wilcoxon,de,3993,101,95,0.9405940594059405
99,wilcoxon,dp,3993,112,91,0.8125
99,wilcoxon,dm,3993,101,84,0.8316831683168316
99,wilcoxon,db,3993,115,53,0.4608695652173913
99,wilcoxon,ee,3993,3170,1,0.0003154574132492114
99,wilcoxon,ep,3993,394,0,0.0
99,diffxpy,de,3993,101,101,1.0
99,diffxpy,dp,3993,112,103,0.9196428571428571
99,diffxpy,dm,3993,101,97,0.9603960396039604
99,diffxpy,db,3993,115,102,0.8869565217391304
99,diffxpy,ee,3993,3170,45,0.014195583596214511
99,diffxpy,ep,3993,394,4,0.01015228426395939
99,DESeq2,de,3993,101,101,1.0
99,DESeq2,dp,3993,112,104,0.9285714285714286
99,DESeq2,dm,3993,101,97,0.9603960396039604
99,DESeq2,db,3993,115,100,0.8695652173913043
99,DESeq2,ee,3993,3170,6,0.0018927444794952682
99,DESeq2,ep,3993,394,1,0.0025380710659898475
100,DUET,de,3959,111,98,0.8828828828828829
100,DUET,dp,3959,94,71,0.7553191489361702
100,DUET,dm,3959,83,71,0.8554216867469879
100,DUET,db,3959,104,69,0.6634615384615384
100,DUET,ee,3959,3178,1069,0.33637507866582755
100,DUET,ep,3959,389,211,0.5424164524421594
100,MAST,de,3959,111,97,0.8738738738738738
100,MAST,dp,3959,94,71,0.7553191489361702
100,MAST,dm,3959,83,71,0.8554216867469879
100,MAST,db,3959,104,69,0.6634615384615384
100,MAST,ee,3959,3178,1042,0.3278791692888609
100,MAST,ep,3959,389,209,0.5372750642673522
100,wilcoxon,de,3959,111,93,0.8378378378378378
100,wilcoxon,dp,3959,94,60,0.6382978723404256
100,wilcoxon,dm,3959,83,49,0.5903614457831325
100,wilcoxon,db,3959,104,27,0.25961538461538464
100,wilcoxon,ee,3959,3178,111,0.034927627438640654
100,wilcoxon,ep,3959,389,40,0.10282776349614396
100,diffxpy,de,3959,111,109,0.9819819819819819
100,diffxpy,dp,3959,94,81,0.8617021276595744
100,diffxpy,dm,3959,83,78,0.9397590361445783
100,diffxpy,db,3959,104,44,0.4230769230769231
100,diffxpy,ee,3959,3178,6,0.0018879798615481435
100,diffxpy,ep,3959,389,1,0.002570694087403599
100,DESeq2,de,3959,111,111,1.0
100,DESeq2,dp,3959,94,87,0.925531914893617
100,DESeq2,dm,3959,83,79,0.9518072289156626
100,DESeq2,db,3959,104,50,0.4807692307692308
100,DESeq2,ee,3959,3178,22,0.006922592825676526
100,DESeq2,ep,3959,389,3,0.007712082262210797
