tag,input,engine,mast_input,ebayes,method,design,threads,run,warmup,cpu_load_before,contaminated,shared_machine,cpus,started,process,stage,elapsed_s,cpu_s,peak_rss_mb,rheap_mb,os_peak_wset_mb,os_peak_private_mb,baseline_rss_mb,delta_rss_mb,returncode,errors,info,sampler_errors,background_cpu_mean,background_cpu_max
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,read,6.95,6.92,1571.21875,1330.7,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,singlecellassay,0.54,0.53,2407.75,2214.6,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,zlm,179.03,179.45,4481.62109375,4507.6,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,lrtest,163.65,163.46,3804.03125,3750.9,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,assemble,0.53,0.54,2222.44140625,1734.8,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,write,0.05,0.04,1874.67578125,1347.0,,,,,,,,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,R,TOTAL_PROCESS,357.12405276298523,357.3125,4481.62109375,,4470.4765625,4520.76171875,737.33203125,3744.2890625,0.0,,assay class after SingleCellAssay: matrix,,,
real_cdr,ductal_all,mast,dense,TRUE,bayesglm,cdr,1,3,False,7.8,False,True,0-15,1789398739.658467,ALL,TOTAL_RUN,359.0545063018799,364.1875,4481.62109375,,4470.4765625,4520.76171875,161.62109375,3744.2890625,0.0,,,0.0,10.7,25.96875
real_cdr,ductal_all,duet,,,,cdr,1,4,False,6.6,False,True,0-15,1789399100.7493103,duet,read,0.06,0.062,471.015625,,,,,,,,,,,
real_cdr,ductal_all,duet,,,,cdr,1,4,False,6.6,False,True,0-15,1789399100.7493103,duet,fit_test_write,24.4,24.109,745.23828125,,,,,,,,,,,
