gene,celltype,mean_ref,mean_test,det_ref,det_test,common_log2fc,delta_det_pp,lfc_DUET,lfc_MAST,lfc_diffxpy,lfc_DESeq2,lfc_Wilcoxon
SNHG30,Endothelial cell,0.59637976,0.089239225,0.4045643153526958,0.10859495625321625,-3.1271443,-29.59693590994796,-0.73164861143594,-0.7311636063965642,-2.020714741338863,-3.1255075734151965,-3.127143383026123
SST,Endothelial cell,0.9374014,0.020668702,0.5110650069156277,0.013896037056098806,-6.216845,-49.71689698595289,-1.322565064325686,-1.3209323093584528,-3.4607687439418195,-5.146458022090978,-6.216843605041504
TEX30,Endothelial cell,0.32169124,0.033081077,0.24343015214384436,0.04246011322696868,-3.4959364,-20.097003891687567,-0.41637652814868,-0.4158713491046458,-2.210805471853962,-3.149763158605671,-3.495936632156372
TMEM35B,Endothelial cell,0.0013046052,0.38683918,0.0006915629322268327,0.3723623262995454,8.499064,37.16707633673186,0.5562087963890557,0.5540011628889562,6.75469047361033,8.607120638088745,8.499064445495605
TOMM6,Endothelial cell,0.00023387543,0.47445485,0.0006915629322268327,0.4279464745239458,11.341893,42.725491159171895,0.6841559455305088,0.6834068696484454,7.0241017024881645,8.941362494896188,11.34189224243164
TRAPPC5,Endothelial cell,0.0049642487,0.5181155,0.006224066390041494,0.46011322696862195,7.091814,45.38891605785805,0.74032111699964,0.7393845593747161,4.898758610680409,6.723663760323224,7.091814994812012
TTC32,Endothelial cell,0.33088005,0.051206373,0.2551867219917005,0.060988162635100644,-2.9000726,-19.419855935659985,-0.4034838993859336,-0.4030601403785764,-1.8659915997811465,-3.0081362721577825,-2.9000728130340576
TTR,Endothelial cell,0.47887275,0.0313551,0.3049792531120323,0.03139475038600098,-4.269386,-27.35845027260313,-0.6456315723769117,-0.6448296752975301,-3.786731263018072,-7.499508150372474,-4.269385814666748
TXNRD1,Endothelial cell,1.0490586,0.278437,0.5919778699861669,0.2768914050437466,-2.53046,-31.508646494242026,-1.1117720447766324,-1.1113171951894374,-1.4846412306790664,-2.412779089532067,-2.530460357666016
WDR83OS,Endothelial cell,0.0051678256,0.7411937,0.005532503457814661,0.580288214101932,7.727952,57.47557106441173,1.0618602598872364,1.0606439458997676,5.338563590609343,7.552885641266698,7.727951049804687
ATP6V0C,Stellate cell,0.010244834,0.7305041,0.017059301380991064,0.5609561752988073,6.7074113,54.389687391781614,1.0391138844878884,1.0381259467765105,4.029210024635252,6.523181634023337,6.707410335540772
CAST,Stellate cell,0.0019291535,0.9435528,0.002437043054427295,0.6394422310756909,9.666354,63.70051880212636,1.3584758687326406,1.3566913989212233,6.203515527812102,9.698910281276708,9.666354179382324
COPRS,Stellate cell,1.0145009,0.3010205,0.6823720552396368,0.2864541832669359,-2.3234067,-39.591787197270094,-1.029335958835642,-1.028707416133102,-2.033606113524039,-1.9991864304981384,-2.32340931892395
CRIP1,Stellate cell,0.017926011,2.2929883,0.03005686433793666,0.8342629482071431,8.943384,80.42060838692065,3.2822218359668542,3.280375358750085,5.537390627906834,7.84213932916333,8.943385124206543
DBNDD2,Stellate cell,0.0002953054,0.86927384,0.0008123476848090983,0.6115537848605546,12.195358,61.07414371757455,1.2536696588952172,1.2523195926132724,7.459426100186445,10.695818646507789,12.195356369018556
DEF8,Stellate cell,0.91949064,0.18995947,0.6620633631194096,0.1972111553784873,-2.8496897,-46.48522077409223,-1.0524912624272853,-1.0517685061045754,-2.331437176422376,-2.377835080975377,-2.849689722061157
EEF1G,Stellate cell,0.02022693,1.8321025,0.02761982128350936,0.8784860557768592,8.004458,85.08662344933498,2.613983268758993,2.612169051499233,4.719552154267589,7.34849145828931,8.004457473754883
EGLN2,Stellate cell,0.0048468136,0.15470563,0.008123476848090982,0.15896414342629503,5.105882,15.084066657820404,0.2162006209052211,0.2155826562975449,2.875327431301191,4.814593360738548,5.10588264465332
EIF4A1,Stellate cell,0.08037161,1.8749593,0.09260763606823734,0.8685258964143105,6.043619,77.59182603460732,2.5890454587859577,2.587539480934943,3.5382289251137,5.587193510792202,6.0436224937438965
ELAC1,Stellate cell,0.17781618,0.036555145,0.18927701056051952,0.038645418326693194,-2.3859584,-15.063159223382632,-0.2037965993826697,-0.2033348234376235,-2.198722459971403,-2.113012998318153,-2.385958194732666
EPB41L4A-AS1,Stellate cell,1.9166548,0.31327453,0.8952071486596183,0.28247011952191586,-3.978226,-61.27370291377024,-2.3131916683608607,-2.311644648378077,-3.1123274639679583,-3.703315989720213,-3.978229522705078
EXTL3,Stellate cell,0.35049793,0.097959206,0.32656376929325565,0.10159362549800745,-2.0281215,-22.49701437952482,-0.364336422142374,-0.3639155714919553,-1.8766837217746948,-1.813229548085952,-2.0281214714050293
FAM174C,Stellate cell,0.0032083963,0.18803026,0.004061738424045491,0.19203187250996126,6.0084133,18.797013408591575,0.2666416999073505,0.2657046768477265,3.605032207594935,6.023467820585871,6.008413791656494
HSPA1B,Stellate cell,0.029488826,1.0505221,0.0446791226645004,0.4772908366533952,5.9570017,43.26117139888948,1.4730398869051404,1.4720801340466476,4.220289916160172,6.072457449095318,5.95700216293335
IGKC,Stellate cell,0.0014086381,0.5536668,0.0016246953696181965,0.3888446215139506,9.035322,38.72199261443324,0.796740367371489,0.7951033236053369,6.237592285231012,9.7595579562497,9.035323143005373
INS,Stellate cell,3.4380934,0.21361825,0.9618196588139636,0.17450199203187314,-6.98307,-78.73176667820904,-4.651937841109467,-4.648209897817887,-5.157036554386895,-5.787811165090089,-6.983073711395264
LARP6,Stellate cell,0.9682556,0.09792685,0.6506904955320824,0.10796812749003927,-3.9887674,-54.27223680420431,-1.2556190614242055,-1.254632182476222,-3.206232950443029,-3.724156958948361,-3.988767147064209
